"","dispatch_date","Aggravated Assault Firearm","Aggravated Assault No Firearm","All Other Offenses","Arson","Burglary Non-Residential","Burglary Residential","Disorderly Conduct","DRIVING UNDER THE INFLUENCE","Embezzlement","Forgery and Counterfeiting","Fraud","Gambling Violations","Homicide - Criminal","Homicide - Criminal ","Homicide - Justifiable ","Liquor Law Violations","Motor Vehicle Theft","Narcotic / Drug Law Violations","Offenses Against Family and Children","Other Assaults","Other Sex Offenses (Not Commercialized)","Prostitution and Commercialized Vice","Public Drunkenness","Rape","Receiving Stolen Property","Robbery Firearm","Robbery No Firearm","Theft from Vehicle","Thefts","Vagrancy/Loitering","Vandalism/Criminal Mischief","Weapon Violations"
"109",2010-04-19,6,13,96,1,10,17,7,7,2,2,29,0,1,0,0,0,16,20,0,76,4,0,2,5,2,6,14,50,79,0,60,4
"110",2010-04-20,8,21,92,3,5,22,13,8,0,0,30,1,1,0,0,2,15,65,0,77,6,5,5,7,0,11,18,52,75,5,49,6
"111",2010-04-21,7,21,117,1,5,31,16,17,1,5,28,1,0,1,0,2,7,55,0,78,3,6,0,4,1,16,16,45,69,6,51,1
"112",2010-04-22,6,16,93,1,2,24,12,13,2,1,21,0,1,0,0,1,16,44,0,94,8,2,0,2,0,9,12,40,56,7,40,8
"113",2010-04-23,7,20,67,0,1,28,10,8,1,4,29,0,1,0,0,2,7,45,0,66,4,4,1,0,0,12,15,35,57,6,38,5
"114",2010-04-24,7,19,90,4,6,16,17,28,1,2,20,1,1,0,0,7,16,46,1,68,3,1,2,2,0,7,13,47,52,4,49,2
"115",2010-04-25,1,25,79,1,2,9,10,17,1,3,11,0,0,0,0,0,9,13,0,61,2,0,0,2,0,10,11,59,26,5,52,1
"116",2010-04-26,17,14,50,1,8,34,6,12,2,1,36,0,0,0,0,0,20,22,1,67,8,0,0,3,0,19,15,52,66,0,47,7
"117",2010-04-27,14,21,97,2,7,23,13,13,1,1,32,0,1,0,0,1,15,49,0,80,4,9,0,1,0,11,15,45,65,7,37,4
"118",2010-04-28,2,14,104,0,4,27,8,9,1,5,25,2,2,1,0,0,20,64,1,79,5,13,1,1,0,10,18,44,68,4,57,9
"119",2010-04-29,2,24,124,0,17,29,13,12,3,3,26,2,0,0,0,2,20,51,0,96,5,6,0,4,0,9,10,33,65,32,50,10
"120",2010-04-30,6,27,56,0,7,15,16,23,1,1,33,0,1,0,0,4,19,52,0,74,4,0,1,2,0,5,11,45,66,6,49,8
"121",2010-05-01,9,19,206,2,1,13,20,25,0,3,17,0,1,0,0,52,15,41,0,63,3,0,4,5,0,6,11,63,68,4,57,5
"122",2010-05-02,15,23,108,0,9,14,6,13,0,1,7,0,2,0,0,6,10,9,1,76,4,0,4,4,0,4,15,39,52,1,44,2
"123",2010-05-03,5,8,91,1,6,25,13,4,0,0,33,0,2,0,0,0,23,13,0,72,5,0,1,4,0,7,11,48,65,0,58,4
"124",2010-05-04,7,28,142,3,15,23,21,14,1,3,34,0,0,0,0,3,19,60,3,87,8,0,3,4,0,11,17,46,89,8,49,2
"125",2010-05-05,11,31,126,2,4,21,18,9,2,4,37,0,1,0,0,0,16,53,0,73,6,8,0,3,0,4,17,51,76,6,44,9
"126",2010-05-06,9,19,145,2,9,23,16,14,1,1,41,1,0,0,0,5,13,53,1,90,6,8,1,4,0,7,17,37,64,1,49,1
"127",2010-05-07,6,16,108,1,8,22,11,24,0,7,32,1,1,1,0,0,17,61,0,92,6,0,0,3,1,7,17,50,83,1,44,5
"128",2010-05-08,7,24,109,0,3,24,25,19,1,1,19,0,0,0,0,12,9,42,1,74,4,0,3,1,0,6,15,44,49,2,53,4
"129",2010-05-09,8,15,87,2,3,22,12,13,0,2,10,0,0,0,0,0,19,20,0,70,6,0,3,6,0,17,7,66,35,1,51,6
"130",2010-05-10,6,16,67,3,3,23,10,10,1,2,37,1,3,0,0,0,14,26,2,76,2,0,0,0,0,14,9,53,74,4,56,4
"131",2010-05-11,3,19,92,0,12,24,19,10,1,2,36,1,0,0,0,0,14,55,0,73,5,3,2,1,0,11,16,48,70,3,43,3
"132",2010-05-12,6,10,101,1,5,24,8,9,0,0,25,1,0,0,0,1,20,57,0,74,4,7,0,3,1,8,12,48,54,3,41,6
"133",2010-05-13,2,23,152,2,10,21,14,8,0,2,37,1,0,1,0,0,13,61,0,77,1,3,0,5,0,10,10,54,79,2,49,2
"134",2010-05-14,6,20,90,2,4,20,13,22,1,4,35,0,2,0,0,1,21,49,0,86,4,2,3,0,0,10,11,61,52,2,54,4
"135",2010-05-15,7,20,120,3,3,21,14,27,0,1,19,0,0,0,0,5,11,37,1,65,3,0,5,3,0,4,18,54,65,3,62,6
"136",2010-05-16,9,23,141,0,4,17,11,20,0,2,9,0,1,0,0,2,16,16,2,59,2,0,1,3,0,12,15,57,56,0,60,3
"137",2010-05-17,8,18,80,0,10,39,10,19,3,3,36,0,1,0,0,2,18,45,0,83,3,0,1,4,0,16,12,53,63,3,66,2
"138",2010-05-18,4,16,61,1,7,36,9,6,1,3,23,0,0,0,0,1,14,41,1,76,5,11,0,5,0,13,11,52,71,1,47,4
"139",2010-05-19,6,16,117,1,9,26,13,13,0,0,32,0,0,0,0,4,19,76,2,70,5,1,2,3,0,9,17,66,68,20,44,9
"140",2010-05-20,4,14,118,1,2,14,15,12,1,3,33,0,0,0,0,1,30,35,0,76,3,8,0,4,0,7,10,54,52,2,30,6
"141",2010-05-21,9,26,82,1,3,29,14,26,3,3,22,0,1,0,0,9,16,56,2,83,8,3,2,4,1,6,19,42,66,5,51,3
"142",2010-05-22,19,24,134,4,7,13,21,21,0,0,12,0,0,0,0,3,24,32,0,82,4,9,1,3,1,18,14,51,47,5,40,3
"143",2010-05-23,9,26,100,1,2,21,7,16,0,2,10,0,0,0,0,0,14,14,0,64,1,3,1,2,0,12,13,40,40,1,51,2
"144",2010-05-24,12,17,70,2,8,30,13,6,0,2,33,0,1,0,0,0,22,16,0,82,6,0,1,1,0,8,15,57,65,1,49,2
"145",2010-05-25,10,10,136,0,1,29,20,7,0,4,24,1,0,0,0,1,21,54,0,66,8,5,3,2,0,9,14,39,75,0,44,4
