"","date_value","type","group","value"
"242",2014-08-30,"arrest","violent",29
"243",2014-08-31,"arrest","violent",26
"244",2014-09-01,"arrest","violent",31
"245",2014-09-02,"arrest","violent",32
"246",2014-09-03,"arrest","violent",38
"247",2014-09-04,"arrest","violent",35
"248",2014-09-05,"arrest","violent",46
"249",2014-09-06,"arrest","violent",27
"250",2014-09-07,"arrest","violent",25
"251",2014-09-08,"arrest","violent",25
"252",2014-09-09,"arrest","violent",28
"253",2014-09-10,"arrest","violent",35
"254",2014-09-11,"arrest","violent",33
"255",2014-09-12,"arrest","violent",22
"256",2014-09-13,"arrest","violent",26
"257",2014-09-14,"arrest","violent",23
"258",2014-09-15,"arrest","violent",29
"259",2014-09-16,"arrest","violent",29
"260",2014-09-17,"arrest","violent",32
"261",2014-09-18,"arrest","violent",25
"262",2014-09-19,"arrest","violent",41
"263",2014-09-20,"arrest","violent",31
"264",2014-09-21,"arrest","violent",32
"265",2014-09-22,"arrest","violent",30
"266",2014-09-23,"arrest","violent",23
"267",2014-09-24,"arrest","violent",44
"268",2014-09-25,"arrest","violent",27
"269",2014-09-26,"arrest","violent",24
"270",2014-09-27,"arrest","violent",18
"271",2014-09-28,"arrest","violent",13
"272",2014-09-29,"arrest","violent",30
"273",2014-09-30,"arrest","violent",37
"274",2014-10-01,"arrest","violent",38
"275",2014-10-02,"arrest","violent",51
"276",2014-10-03,"arrest","violent",42
"277",2014-10-04,"arrest","violent",19
"278",2014-10-05,"arrest","violent",23
"279",2014-10-06,"arrest","violent",30
"280",2014-10-07,"arrest","violent",27
"281",2014-10-08,"arrest","violent",28
"282",2014-10-09,"arrest","violent",31
"283",2014-10-10,"arrest","violent",42
"284",2014-10-11,"arrest","violent",24
"285",2014-10-12,"arrest","violent",28
"286",2014-10-13,"arrest","violent",31
"287",2014-10-14,"arrest","violent",43
"288",2014-10-15,"arrest","violent",40
"289",2014-10-16,"arrest","violent",48
"290",2014-10-17,"arrest","violent",38
"291",2014-10-18,"arrest","violent",45
"292",2014-10-19,"arrest","violent",13
"293",2014-10-20,"arrest","violent",34
"294",2014-10-21,"arrest","violent",31
"295",2014-10-22,"arrest","violent",28
"296",2014-10-23,"arrest","violent",25
"297",2014-10-24,"arrest","violent",25
"298",2014-10-25,"arrest","violent",30
"299",2014-10-26,"arrest","violent",30
"300",2014-10-27,"arrest","violent",41
"301",2014-10-28,"arrest","violent",31
"302",2014-10-29,"arrest","violent",46
"303",2014-10-30,"arrest","violent",27
"304",2014-10-31,"arrest","violent",29
"305",2014-11-01,"arrest","violent",20
"306",2014-11-02,"arrest","violent",21
"307",2014-11-03,"arrest","violent",20
"308",2014-11-04,"arrest","violent",40
"309",2014-11-05,"arrest","violent",37
"310",2014-11-06,"arrest","violent",31
