"","date_value","arrests_violent","arrests_property","arrests_drugs","arrests_firearms","arrests_other","arrests_uncategorized","charges_violent","charges_property","charges_drugs","charges_firearms","charges_other","charges_uncategorized"
"169",2014-06-18,35,22,70,5,17,21,22,22,48,7,17,18
"170",2014-06-19,37,18,99,2,4,22,38,13,80,3,2,10
"171",2014-06-20,33,22,74,5,9,25,37,20,85,6,11,10
"172",2014-06-21,26,15,51,4,7,27,30,20,77,3,7,19
"173",2014-06-22,27,12,26,1,1,14,22,10,23,1,1,10
"174",2014-06-23,30,18,21,1,0,23,19,22,17,0,0,11
"175",2014-06-24,43,21,51,4,3,18,46,19,31,2,3,13
"176",2014-06-25,39,16,51,2,6,26,47,24,57,3,8,16
"177",2014-06-26,33,34,101,6,11,19,21,19,60,13,7,7
"178",2014-06-27,42,17,39,5,8,31,46,31,77,4,11,19
"179",2014-06-28,38,11,66,4,8,32,40,16,61,6,9,18
"180",2014-06-29,18,12,41,2,4,19,22,8,50,1,3,12
"181",2014-06-30,33,16,19,0,0,11,26,19,20,2,0,16
"182",2014-07-01,28,22,69,6,2,23,35,17,33,2,0,12
"183",2014-07-02,36,21,65,4,10,33,27,24,65,4,6,21
"184",2014-07-03,35,18,63,6,11,24,47,15,67,3,13,18
"185",2014-07-04,30,21,52,4,1,24,31,29,78,7,4,14
"186",2014-07-05,30,18,34,4,0,22,33,16,22,3,0,15
"187",2014-07-06,26,21,33,2,2,19,41,18,40,3,1,15
"188",2014-07-07,28,10,30,2,1,18,24,14,30,2,1,9
"189",2014-07-08,38,23,43,5,1,26,23,6,24,2,2,14
"190",2014-07-09,41,33,52,3,9,34,36,33,50,5,6,29
"191",2014-07-10,32,14,67,2,13,27,40,28,56,1,13,13
"192",2014-07-11,34,23,57,5,15,22,36,17,72,3,16,25
"193",2014-07-12,16,15,76,4,9,22,13,18,72,4,9,9
"194",2014-07-13,22,16,20,2,3,24,16,20,37,3,3,19
"195",2014-07-14,29,17,19,2,0,24,28,16,18,3,0,6
"196",2014-07-15,33,10,22,0,3,23,27,15,27,0,3,13
"197",2014-07-16,30,24,79,4,11,33,36,20,32,3,10,18
"198",2014-07-17,39,16,53,5,4,22,32,23,77,5,4,10
"199",2014-07-18,41,19,75,4,10,16,47,10,44,5,4,16
"200",2014-07-19,24,23,85,3,1,21,23,23,89,3,8,6
"201",2014-07-20,5,21,48,0,2,19,15,33,79,1,2,12
"202",2014-07-21,39,25,30,4,2,12,34,21,23,1,2,2
"203",2014-07-22,33,19,48,6,11,30,24,31,35,3,9,12
"204",2014-07-23,27,28,69,2,11,21,30,24,62,4,10,15
"205",2014-07-24,39,26,74,4,10,34,40,22,66,2,12,14
"206",2014-07-25,21,16,63,0,10,31,23,20,76,3,10,19
"207",2014-07-26,21,12,70,4,5,34,27,14,71,3,6,23
"208",2014-07-27,40,17,39,0,3,28,28,17,50,1,2,16
"209",2014-07-28,21,23,12,1,2,16,20,15,11,1,4,24
"210",2014-07-29,54,27,51,4,6,29,46,20,25,2,2,13
"211",2014-07-30,44,20,55,8,9,26,48,33,56,5,11,13
"212",2014-07-31,24,19,58,3,7,29,32,16,49,4,9,17
"213",2014-08-01,25,19,66,1,12,27,42,23,69,1,12,13
"214",2014-08-02,24,14,58,3,7,25,20,21,73,1,7,15
"215",2014-08-03,18,15,28,3,4,19,24,21,31,5,5,9
"216",2014-08-04,38,22,24,0,0,15,30,15,28,0,0,10
"217",2014-08-05,37,15,42,0,1,38,34,19,22,0,0,11
"218",2014-08-06,27,27,61,3,6,25,45,22,64,1,6,23
"219",2014-08-07,39,21,70,4,8,24,34,32,67,4,8,19
"220",2014-08-08,35,25,57,5,12,27,40,18,59,4,12,10
"221",2014-08-09,25,16,76,8,8,24,30,19,80,9,7,18
"222",2014-08-10,31,13,37,3,4,24,21,11,45,3,3,6
"223",2014-08-11,30,16,26,5,2,32,34,20,24,4,3,25
"224",2014-08-12,24,29,41,6,0,18,26,24,31,6,2,14
"225",2014-08-13,34,24,75,4,4,26,32,33,55,4,2,9
"226",2014-08-14,35,37,65,5,7,43,28,25,72,4,8,20
"227",2014-08-15,33,14,62,6,8,30,46,32,64,6,9,14
"228",2014-08-16,30,16,79,3,8,15,32,20,95,4,8,14
"229",2014-08-17,26,16,26,2,4,18,29,16,32,3,3,7
"230",2014-08-18,27,21,21,4,0,18,34,20,19,2,1,7
"231",2014-08-19,31,23,37,2,2,27,38,20,32,2,0,19
"232",2014-08-20,37,31,47,2,7,26,50,28,42,3,7,10
"233",2014-08-21,25,27,43,7,13,37,22,26,43,2,12,10
"234",2014-08-22,23,16,56,5,13,25,31,27,48,9,13,14
"235",2014-08-23,20,26,42,4,1,28,22,19,50,4,2,14
"236",2014-08-24,27,16,35,3,4,25,39,23,42,2,3,15
"237",2014-08-25,35,23,22,3,0,21,27,24,15,4,1,10
"238",2014-08-26,44,22,44,1,1,22,41,24,43,2,1,10
"239",2014-08-27,26,24,67,7,8,30,33,18,53,2,9,11
"240",2014-08-28,32,22,51,2,12,26,36,26,58,6,12,18
"241",2014-08-29,21,8,58,7,9,27,23,15,56,7,6,13
"242",2014-08-30,29,23,86,1,1,31,29,14,82,2,2,20
"243",2014-08-31,26,12,40,5,2,30,30,20,53,3,2,12
"244",2014-09-01,31,18,25,0,0,13,41,18,24,2,0,7
"245",2014-09-02,32,28,47,1,6,24,29,28,40,0,7,8
